lemma	pos	count
ir	C	34605049
būti	V	20816394
jis	P	19365091
kad	C	11759116
tas	P	11744826
Lietuva	Ng	9934349
į	S	9317347
kuris	P	9061629
šis	P	8503345
iš	S	7466587
su	S	7444292
ir	Q	6249782
galėti	V	5706031
dėl	S	5598733
metai	N	5470389
aš	P	5467964
kitas	P	5453677
ar	C	5446569
turėti	V	5375209
straipsnis	N	5274983
įstatymas	N	5036929
o	C	4976351
nr.	Y	4752997
kaip	C	4571865
m	Y	4487575
visas	P	4471665
ne	Q	4195503
respublika	N	4130538
savas	P	3951038
kas	P	3880209
nuo	S	3879805
apie	S	3879506
d.	Y	3759901
a	I	3651148
toks	P	3584411
valstybė	N	3566583
darbas	N	3529936
už	S	3490391
projektas	N	3404451
bet	C	3403127
kai	C	3377267
dalis	N	3326155
tik	R	3319132
taip	R	3310038
teisė	N	3237889
žmogus	N	3098103
iki	S	3038328
daug	R	2993738
bei	C	2985186
per	S	2974108
po	S	2969063
diena	N	2952084
arba	C	2929060
seimas	N	2837500
dar	R	2783224
nustatyti	V	2764888
asmuo	N	2718256
jau	R	2581318
Lt	Y	2563737
nebūti	V	2557641
labai	R	2405670
tačiau	C	2393470
pat	Q	2302735
s	Y	2255938
pats	P	2222927
vyriausybė	N	2203462
tu	P	2197435
vienas	P	2161030
šalis	N	2120978
pagal	S	2097182
Vilnius	Ng	2078782
naujas	A	2015713
I	M	1998166
sakyti	V	1990155
vieta	N	1965575
Europa	Ng	1933647
prie	S	1917081
savivaldybė	N	1916712
pirmas	M	1907541
jei	C	1900465
įmonė	N	1875692
metas	N	1869168
narys	N	1850238
litas	N	1843973
teismas	N	1801085
prieš	S	1770330
jeigu	C	1765013
vaikas	N	1752248
veikla	N	1751214
tvarka	N	1750044
vienas	M	1706319
du	M	1703050
žemė	N	1692469
ministerija	N	1682285
reikėti	V	1668579
gauti	V	1617041
koks	P	1609876
Kaunas	Ng	1606623
nei	C	1583551
pateikti	V	1573052
pirmininkas	N	1570721
skirti	V	1569834
laikas	N	1569706
nes	C	1566292
miestas	N	1561420
manyti	V	1559745
didis	A	1556060
sprendimas	N	1556038
V	M	1535099
pakeitimas	N	1497797
komisija	N	1468070
r.	Y	1464989
p.	Y	1462009
norėti	V	1456312
priimti	V	1456175
g	Y	1444159
priemonė	N	1428047
valstybinis	A	1427193
dabar	R	1384840
žin.	Y	1363001
punktas	N	1359305
apsauga	N	1341923
nurodyti	V	1334169
tarnyba	N	1331707
jog	C	1330597
ministras	N	1330409
kartas	N	1318807
įstaiga	N	1317477
atlikti	V	1315792
geras	A	1284965
taryba	N	1275613
net	Q	1260227
ūkis	N	1248609
gyventi	V	1240993
ar	Q	1234566
nutarimas	N	1201883
klausimas	N	1201341
turtas	N	1198398
bendras	A	1197645
sutartis	N	1194148
bendrovė	N	1191689
dokumentas	N	1187901
institucija	N	1183731
pradėti	V	1181333
dirbti	V	1179432
mokestis	N	1170982
nors	C	1165667
numatyti	V	1155462
programa	N	1154389
vadovas	N	1153677
rajonas	N	1145427
komitetas	N	1144836
pasaulis	N	1140534
t	Y	1130474
proc.	Y	1122763
todėl	R	1121593
